,rotated_90_resized_100,grayscale_binarize_resized_50,grayscale_binarize_resized_100,grayscale_binarize_resized_200,grayscale_binarize_resized_300,inverted,hsi_s20_i20,hsi_s20_i5,hsi_s20_i0.5,hsi_s20_i0.2,hsi_s10_i20,hsi_s10_i5,hsi_s10_i0.5,hsi_s10_i0.2,hsi_s5_i20,hsi_s5_i5,hsi_s5_i0.5,hsi_s5_i0.2,hsi_s0.5_i20,hsi_s0.5_i5,hsi_s0.5_i0.5,hsi_s0.5_i0.2,hsi_s0.2_i20,hsi_s0.2_i5,hsi_s0.2_i0.5,hsi_s0.2_i0.2,grayscale_binarized,mirror
rotated_90_resized_100,1.0000,1.0000,1.0000,0.9558,0.9558,0.9558,0.9558,0.9558,0.9382,0.8847,0.9558,0.9558,0.9558,0.8848,0.9558,0.9558,0.9558,0.8848,0.9558,1.0000,1.0000,1.0000,0.9558,1.0000,1.0000,1.0000,1.0000,0.7553
grayscale_binarize_resized_50,1.0000,1.0000,1.0000,0.9558,0.9558,0.9558,0.9558,0.9558,0.9382,0.8847,0.9558,0.9558,0.9558,0.8848,0.9558,0.9558,0.9558,0.8848,0.9558,1.0000,1.0000,1.0000,0.9558,1.0000,1.0000,1.0000,1.0000,0.7553
grayscale_binarize_resized_100,1.0000,1.0000,1.0000,0.9558,0.9558,0.9558,0.9558,0.9558,0.9382,0.8847,0.9558,0.9558,0.9558,0.8848,0.9558,0.9558,0.9558,0.8848,0.9558,1.0000,1.0000,1.0000,0.9558,1.0000,1.0000,1.0000,1.0000,0.7552
grayscale_binarize_resized_200,0.9558,0.9558,0.9558,1.0000,1.0000,1.0000,1.0000,1.0000,0.9856,0.9334,1.0000,1.0000,1.0000,0.9334,1.0000,1.0000,1.0000,0.9334,1.0000,0.9558,0.9558,0.9558,1.0000,0.9558,0.9558,0.9558,0.9558,0.7838
grayscale_binarize_resized_300,0.9558,0.9558,0.9558,1.0000,1.0000,1.0000,1.0000,1.0000,0.9856,0.9335,1.0000,1.0000,1.0000,0.9335,1.0000,1.0000,1.0000,0.9335,1.0000,0.9558,0.9558,0.9558,1.0000,0.9558,0.9558,0.9558,0.9558,0.7838
inverted,0.9558,0.9558,0.9558,1.0000,1.0000,1.0000,1.0000,1.0000,0.9856,0.9335,1.0000,1.0000,1.0000,0.9335,1.0000,1.0000,1.0000,0.9335,1.0000,0.9558,0.9558,0.9558,1.0000,0.9558,0.9558,0.9558,0.9558,0.7838
hsi_s20_i20,0.9558,0.9558,0.9558,1.0000,1.0000,1.0000,1.0000,1.0000,0.9856,0.9334,1.0000,1.0000,1.0000,0.9334,1.0000,1.0000,1.0000,0.9334,1.0000,0.9558,0.9558,0.9558,1.0000,0.9558,0.9558,0.9558,0.9558,0.7838
hsi_s20_i5,0.9558,0.9558,0.9558,1.0000,1.0000,1.0000,1.0000,1.0000,0.9856,0.9334,1.0000,1.0000,1.0000,0.9334,1.0000,1.0000,1.0000,0.9334,1.0000,0.9558,0.9558,0.9558,1.0000,0.9558,0.9558,0.9558,0.9558,0.7838
hsi_s20_i0.5,0.9382,0.9382,0.9382,0.9856,0.9856,0.9856,0.9856,0.9856,1.0000,0.9353,0.9856,0.9856,0.9856,0.9353,0.9856,0.9856,0.9856,0.9353,0.9856,0.9382,0.9382,0.9382,0.9856,0.9382,0.9382,0.9382,0.9382,0.7959
hsi_s20_i0.2,0.8847,0.8847,0.8847,0.9334,0.9335,0.9335,0.9334,0.9334,0.9353,1.0000,0.9334,0.9335,0.9334,1.0000,0.9334,0.9334,0.9335,1.0000,0.9335,0.8847,0.8847,0.8847,0.9334,0.8847,0.8847,0.8847,0.8847,0.7855
hsi_s10_i20,0.9558,0.9558,0.9558,1.0000,1.0000,1.0000,1.0000,1.0000,0.9856,0.9334,1.0000,1.0000,1.0000,0.9334,1.0000,1.0000,1.0000,0.9334,1.0000,0.9558,0.9558,0.9558,1.0000,0.9558,0.9558,0.9558,0.9558,0.7838
hsi_s10_i5,0.9558,0.9558,0.9558,1.0000,1.0000,1.0000,1.0000,1.0000,0.9856,0.9335,1.0000,1.0000,1.0000,0.9335,1.0000,1.0000,1.0000,0.9335,1.0000,0.9558,0.9558,0.9558,1.0000,0.9558,0.9558,0.9558,0.9558,0.7838
hsi_s10_i0.5,0.9558,0.9558,0.9558,1.0000,1.0000,1.0000,1.0000,1.0000,0.9856,0.9334,1.0000,1.0000,1.0000,0.9334,1.0000,1.0000,1.0000,0.9334,1.0000,0.9558,0.9558,0.9558,1.0000,0.9558,0.9558,0.9558,0.9558,0.7838
hsi_s10_i0.2,0.8848,0.8848,0.8848,0.9334,0.9335,0.9335,0.9334,0.9334,0.9353,1.0000,0.9334,0.9335,0.9334,1.0000,0.9334,0.9334,0.9335,1.0000,0.9335,0.8848,0.8848,0.8848,0.9334,0.8848,0.8848,0.8848,0.8848,0.7855
hsi_s5_i20,0.9558,0.9558,0.9558,1.0000,1.0000,1.0000,1.0000,1.0000,0.9856,0.9334,1.0000,1.0000,1.0000,0.9334,1.0000,1.0000,1.0000,0.9334,1.0000,0.9558,0.9558,0.9558,1.0000,0.9558,0.9558,0.9558,0.9558,0.7838
hsi_s5_i5,0.9558,0.9558,0.9558,1.0000,1.0000,1.0000,1.0000,1.0000,0.9856,0.9334,1.0000,1.0000,1.0000,0.9334,1.0000,1.0000,1.0000,0.9334,1.0000,0.9558,0.9558,0.9558,1.0000,0.9558,0.9558,0.9558,0.9558,0.7838
hsi_s5_i0.5,0.9558,0.9558,0.9558,1.0000,1.0000,1.0000,1.0000,1.0000,0.9856,0.9335,1.0000,1.0000,1.0000,0.9335,1.0000,1.0000,1.0000,0.9335,1.0000,0.9558,0.9558,0.9558,1.0000,0.9558,0.9558,0.9558,0.9558,0.7838
hsi_s5_i0.2,0.8848,0.8848,0.8848,0.9334,0.9335,0.9335,0.9334,0.9334,0.9353,1.0000,0.9334,0.9335,0.9334,1.0000,0.9334,0.9334,0.9335,1.0000,0.9335,0.8848,0.8848,0.8848,0.9334,0.8848,0.8848,0.8848,0.8848,0.7855
hsi_s0.5_i20,0.9558,0.9558,0.9558,1.0000,1.0000,1.0000,1.0000,1.0000,0.9856,0.9335,1.0000,1.0000,1.0000,0.9335,1.0000,1.0000,1.0000,0.9335,1.0000,0.9558,0.9558,0.9558,1.0000,0.9558,0.9558,0.9558,0.9558,0.7838
hsi_s0.5_i5,1.0000,1.0000,1.0000,0.9558,0.9558,0.9558,0.9558,0.9558,0.9382,0.8847,0.9558,0.9558,0.9558,0.8848,0.9558,0.9558,0.9558,0.8848,0.9558,1.0000,1.0000,1.0000,0.9558,1.0000,1.0000,1.0000,1.0000,0.7553
hsi_s0.5_i0.5,1.0000,1.0000,1.0000,0.9558,0.9558,0.9558,0.9558,0.9558,0.9382,0.8847,0.9558,0.9558,0.9558,0.8848,0.9558,0.9558,0.9558,0.8848,0.9558,1.0000,1.0000,1.0000,0.9558,1.0000,1.0000,1.0000,1.0000,0.7553
hsi_s0.5_i0.2,1.0000,1.0000,1.0000,0.9558,0.9558,0.9558,0.9558,0.9558,0.9382,0.8847,0.9558,0.9558,0.9558,0.8848,0.9558,0.9558,0.9558,0.8848,0.9558,1.0000,1.0000,1.0000,0.9558,1.0000,1.0000,1.0000,1.0000,0.7553
hsi_s0.2_i20,0.9558,0.9558,0.9558,1.0000,1.0000,1.0000,1.0000,1.0000,0.9856,0.9334,1.0000,1.0000,1.0000,0.9334,1.0000,1.0000,1.0000,0.9334,1.0000,0.9558,0.9558,0.9558,1.0000,0.9558,0.9558,0.9558,0.9558,0.7838
hsi_s0.2_i5,1.0000,1.0000,1.0000,0.9558,0.9558,0.9558,0.9558,0.9558,0.9382,0.8847,0.9558,0.9558,0.9558,0.8848,0.9558,0.9558,0.9558,0.8848,0.9558,1.0000,1.0000,1.0000,0.9558,1.0000,1.0000,1.0000,1.0000,0.7553
hsi_s0.2_i0.5,1.0000,1.0000,1.0000,0.9558,0.9558,0.9558,0.9558,0.9558,0.9382,0.8847,0.9558,0.9558,0.9558,0.8848,0.9558,0.9558,0.9558,0.8848,0.9558,1.0000,1.0000,1.0000,0.9558,1.0000,1.0000,1.0000,1.0000,0.7553
hsi_s0.2_i0.2,1.0000,1.0000,1.0000,0.9558,0.9558,0.9558,0.9558,0.9558,0.9382,0.8847,0.9558,0.9558,0.9558,0.8848,0.9558,0.9558,0.9558,0.8848,0.9558,1.0000,1.0000,1.0000,0.9558,1.0000,1.0000,1.0000,1.0000,0.7552
grayscale_binarized,1.0000,1.0000,1.0000,0.9558,0.9558,0.9558,0.9558,0.9558,0.9382,0.8847,0.9558,0.9558,0.9558,0.8848,0.9558,0.9558,0.9558,0.8848,0.9558,1.0000,1.0000,1.0000,0.9558,1.0000,1.0000,1.0000,1.0000,0.7552
mirror,0.7553,0.7553,0.7552,0.7838,0.7838,0.7838,0.7838,0.7838,0.7959,0.7855,0.7838,0.7838,0.7838,0.7855,0.7838,0.7838,0.7838,0.7855,0.7838,0.7553,0.7553,0.7553,0.7838,0.7553,0.7553,0.7552,0.7552,1.0000
